"lineage","country","date","N.M234I","N.A376T","N.A398T","ORF1a.P626L","ORF1a.M3087I","ORF1b.A176S","ORF1b.P314L","ORF1b.V767L","ORF1b.P970L","ORF1b.K1199M","ORF1b.M1352I","ORF3a.Q57H","S.S477N","S.D614G","ORF1b.K709R","N.E62V","N.S194L","ORF1a.A591V","ORF1a.G2815C","ORF1a.C3285R","ORF3a.G172V","ORF9b.K59.","S.F4S","ORF9b.S50L","ORF1a.G268V","ORF1a.T512I","ORF1a.A1060V","ORF1a.F3908L","ORF1b.W608L","ORF1b.T634I","ORF1b.F1434S","ORF1b.H2285Y","ORF1a.P3371S","ORF1b.F1269L","ORF1a.K2108R","ORF1b.V464F","ORF7a.P34S","ORF1a.K3353R","N.T393I","ORF1a.V3718F","ORF1b.V2061I","ORF1a.E4319G","ORF1a.L3606F","ORF1b.V290F","S.G1124V","ORF1a.D1639N","ORF1b.A1008V","S.V705F","S.M153T","S.I1221T","N.M210V","ORF1a.G298C","ORF3a.A54T","ORF1b.S1779I","ORF7b.T40I","ORF1b.V2061L","ORF1a.D2525Y","ORF1b.K1571R"
"B.1.124","USA","2020-04-28",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-25",0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"B.1.124","USA","2020-04-26",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-23",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-23",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-23",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-23",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-27",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-05-01",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-05-01",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.124","USA","2020-04-28",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
