"lineage","country","date","N.S194L","ORF1a.K290N","ORF1a.M321V","ORF1a.P371S","ORF1b.P314L","S.D614G","N.D3Y","ORF1a.T1543I","ORF1b.D265E","ORF1b.G2510C","ORF3a.A99S","S.P1162L","ORF1a.S2797F","ORF1b.P103S","ORF1b.H1550Y","S.D1163Y","ORF1b.Q813H","ORF1b.H1979Y","ORF3a.D155Y","ORF9b.S53L","S.G932C","ORF1a.T1168I","ORF1a.A1670T","ORF1a.M3627I","ORF1b.D2142G","ORF1a.A2129V","ORF1b.D2067E","ORF1a.G334S","S.A1078S","ORF1b.A788E","ORF8.L4F","N.Q409L","ORF1a.H3233Y","ORF1a.K3577R","ORF3a.L83F","ORF3a.V97I","S.T572I","M.D3G","ORF1a.Q1201L","ORF1a.D2043G","ORF1b.R2613H","ORF3a.G224V","S.D1163V","ORF1a.V1222I","ORF1b.T2453I","ORF3a.T151N","ORF3a.I37T","ORF1a.L580F","S.M177I","E.V62F","ORF1a.A690V","ORF1a.Q1737R","ORF1a.L3060I","ORF1a.E933A","ORF1b.T899I","ORF1b.V2178F","ORF7b.L32F","S.D1260Y","ORF1a.N1094T","ORF1a.G1095R","S.V772A","N.P13S","ORF1a.S944L","ORF1a.T2648I","ORF1a.T3459M","ORF1a.P1497S","ORF1a.L3352F","S.T286I","ORF1a.T3255A","ORF1a.S3384L","ORF1b.V426F","E.E8D","N.N29S","ORF1a.L3606F","ORF1b.A941V","ORF3a.P178S","ORF9b.M26V","S.K558N","ORF1b.T1743I","ORF1a.L3210I","ORF3a.W69L","ORF1a.P4220S","ORF1a.S166G","ORF1a.L397F","S.T323I","S.L1203F","ORF1a.T4083M","ORF1b.T239I","ORF1a.G295C","ORF8.Q72H","ORF1a.A2618V","ORF1b.L2580F","ORF1b.S2673I","S.E1195D","ORF1a.T2016I","ORF3a.L108F"
"B.1.397","USA","2020-06-21",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.397","USA","2020-06-24",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.397","USA","2020-05-28",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"B.1.397","USA","2020-08-31",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.397","USA","2021-03-22",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"B.1.397","USA","2021-02-05",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.397","USA","2021-02-19",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"B.1.397","USA","2021-02-19",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"B.1.397","USA","2021-02-19",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"B.1.397","USA","2021-02-17",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"B.1.397","USA","2021-04-22",1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
